UTC,TroutLake_Inflow,Alder_Inflow,TroutLake_V,TroutLake_Q_turbine,TroutLake_Q_spill,Q_release_user
2000-01-01 00:00:00,9.91089645,1.441501203,686740918.8,10.5,0.0,9.91089645
2000-01-01 06:00:00,9.298373575,0.391461988,,,,9.298373575
2000-01-01 12:00:00,10.53723563,0.686209838,,,,10.53723563
2000-01-01 18:00:00,11.99715857,0.842794633,,,,11.99715857
2000-01-02 00:00:00,7.34566907,0.096714138,,,,7.34566907
2000-01-02 06:00:00,22.35938767,1.105304437,,,,22.35938767
2000-01-02 12:00:00,14.84792293,0.165795666,,,,14.84792293
2000-01-02 18:00:00,9.298373575,0.391461988,,,,9.298373575
2000-01-03 00:00:00,16.05915238,1.759276229,,,,16.05915238
2000-01-03 06:00:00,14.95384794,0.667788097,,,,14.95384794
2000-01-03 12:00:00,14.69594357,0.658577227,,,,14.69594357
2000-01-03 18:00:00,14.95845338,1.160569659,,,,14.95845338
2000-01-04 00:00:00,12.70639559,0.971746817,,,,12.70639559
2000-01-04 06:00:00,11.53200962,1.003984863,,,,11.53200962
2000-01-04 12:00:00,11.65175094,1.040828345,,,,11.65175094
2000-01-04 18:00:00,16.12823391,1.257283797,,,,16.12823391
2000-01-05 00:00:00,40.26071411,2.215214309,,,,23
2000-01-05 06:00:00,46.26159612,4,,,,23
2000-01-05 12:00:00,23.90220845,7,,,,23
2000-01-05 18:00:00,60.23,10,,,,23
2000-01-06 00:00:00,79.56,28,,,,23
2000-01-06 06:00:00,92.34,21,,,,23
2000-01-06 12:00:00,182.47,20,,,,23
2000-01-06 18:00:00,224.231,12,,,,23
2000-01-07 00:00:00,181.08,8,,,,23
2000-01-07 06:00:00,158.84,7,,,,23
2000-01-07 12:00:00,145.32,6,,,,23
2000-01-07 18:00:00,124.67,2,,,,23
2000-01-08 00:00:00,99.34,2.5,,,,23
2000-01-08 06:00:00,88.23,3,,,,23
2000-01-08 12:00:00,84.45,2,,,,23
2000-01-08 18:00:00,64.23,3,,,,23
2000-01-09 00:00:00,21.9,2.6,,,,21.9
2000-01-09 06:00:00,11.23,2.5,,,,11.23
2000-01-09 12:00:00,8.142409351,0.967141382,,,,8.142409351
2000-01-09 18:00:00,10.53723563,0.686209838,,,,10.53723563
2000-01-10 00:00:00,10.02142689,0.658577227,,,,10.02142689
2000-01-10 06:00:00,5.240985205,0.041448916,,,,5.240985205
2000-01-10 12:00:00,7.787790844,1.040828345,,,,7.787790844
2000-01-10 18:00:00,11.99715857,0.842794633,,,,11.99715857
2000-01-11 00:00:00,9.399693148,0.658577227,,,,9.399693148
2000-01-11 06:00:00,9.791155136,1.003984863,,,,9.791155136
2000-01-11 12:00:00,7.787790844,1.040828345,,,,7.787790844
2000-01-11 18:00:00,9.399693148,0.658577227,,,,9.399693148
2000-01-12 00:00:00,9.791155136,1.003984863,,,,9.791155136
2000-01-12 06:00:00,9.399693148,0.658577227,,,,9.399693148
2000-01-12 12:00:00,9.791155136,1.003984863,,,,9.791155136
2000-01-12 18:00:00,7.787790844,1.040828345,,,,7.787790844
2000-01-13 00:00:00,9.399693148,0.658577227,,,,9.399693148
2000-01-13 06:00:00,8.142409351,0.967141382,,,,8.142409351
2000-01-13 12:00:00,8.142409351,0.967141382,,,,8.142409351
2000-01-13 18:00:00,8.142409351,0.658577227,,,,8.142409351
2000-01-14 00:00:00,8.142409351,0.967141382,,,,8.142409351
2000-01-14 06:00:00,8.142409351,0.967141382,,,,8.142409351
2000-01-14 12:00:00,4.794257995,0.658577227,,,,4.794257995
2000-01-14 18:00:00,4.379768831,0.101319573,,,,4.379768831
2000-01-15 00:00:00,3.242226348,0.276326109,,,,3.242226348
