UTC,TroutLake_Inflow,Alder_Inflow,Rafting_Qmin,Rafting_Qmax,TroutLake_V,TroutLake_Q_turbine,TroutLake_Q_spill,Q_release_user
2000-01-01 00:00:00,9.91089645,1.441501203,,,616740918.8,10.5,0,10.0
2000-02-01 00:00:00,11.40766287,1.040828345,,,,,,12
2000-03-01 00:00:00,12.32414447,1.174385964,,,,,,13
2000-04-01 00:00:00,24.4732824,1.79611971,,,,,,25
2000-05-01 00:00:00,35.9223942,2.063234949,14.08862247,18.78482996,,,,36
2000-06-01 00:00:00,22.35938767,1.105304437,14.08862247,18.78482996,,,,23
2000-07-01 00:00:00,14.84792293,0.165795666,14.08862247,18.78482996,,,,15
2000-08-01 00:00:00,9.298373575,0.391461988,14.08862247,18.78482996,,,,10
2000-09-01 00:00:00,3.596844855,0.096714138,14.08862247,18.78482996,,,,4
2000-10-01 00:00:00,4.158707943,0.557257654,,,,,,5
2000-11-01 00:00:00,9.109550733,0.842794633,,,,,,10
2000-12-01 00:00:00,10.49118128,0.686209838,,,,,,11
2001-01-01 00:00:00,11.61490746,0.75068593,,,,,,12
2001-02-01 00:00:00,13.39721086,0.842794633,,,,,,14
2001-03-01 00:00:00,16.64404264,0.916481596,,,,,,17
2001-04-01 00:00:00,29.03266321,1.404657722,,,,,,30
2001-05-01 00:00:00,36.19411487,4.886366698,14.08862247,18.78482996,,,,37
2001-06-01 00:00:00,26.29703473,2.178370828,14.08862247,18.78482996,,,,27
2001-07-01 00:00:00,10.53723563,0.686209838,14.08862247,18.78482996,,,,11
2001-08-01 00:00:00,5.240985205,0.041448916,14.08862247,18.78482996,,,,6
2001-09-01 00:00:00,1.717827312,0.46514895,14.08862247,18.78482996,,,,2
2001-10-01 00:00:00,0.013816305,0.501992432,,,,,,1
2001-11-01 00:00:00,2.754050222,0.990168558,,,,,,3
2001-12-01 00:00:00,5.388359129,1.123726177,,,,,,6
2002-01-01 00:00:00,7.787790844,1.040828345,,,,,,8
2002-02-01 00:00:00,9.399693148,0.658577227,,,,,,10
2002-03-01 00:00:00,9.791155136,1.003984863,,,,,,10
2002-04-01 00:00:00,16.05915238,1.759276229,,,,,,17
2002-05-01 00:00:00,16.29402957,0.824372892,14.08862247,18.78482996,,,,17
2002-06-01 00:00:00,11.99715857,0.842794633,14.08862247,18.78482996,,,,12
2002-07-01 00:00:00,7.34566907,0.096714138,14.08862247,18.78482996,,,,8
2002-08-01 00:00:00,0.75068593,0.15197936,14.08862247,18.78482996,,,,1
2002-09-01 00:00:00,1.95730994,0.506597867,14.08862247,18.78482996,,,,2
2002-10-01 00:00:00,2.445486066,0.782923976,,,,,,3
2002-11-01 00:00:00,3.122485034,0.469754386,,,,,,4
2002-12-01 00:00:00,4.872550392,0.653971792,,,,,,5
2003-01-01 00:00:00,6.208126587,0.810556587,,,,,,7
2003-02-01 00:00:00,10.02142689,0.658577227,,,,,,11
2003-03-01 00:00:00,11.04843893,0.796740282,,,,,,12
2003-04-01 00:00:00,17.13682421,2.55601651,,,,,,18
2003-05-01 00:00:00,29.99059372,1.971126246,14.08862247,18.78482996,,,,30
2003-06-01 00:00:00,19.09873958,1.423079462,14.08862247,18.78482996,,,,20
2003-07-01 00:00:00,29.84782523,1.082277261,14.08862247,18.78482996,,,,30
2003-08-01 00:00:00,22.82914206,0.782923976,14.08862247,18.78482996,,,,23
2003-09-01 00:00:00,14.95384794,0.667788097,14.08862247,18.78482996,,,,15
2003-10-01 00:00:00,14.69594357,0.658577227,,,,,,15
2003-11-01 00:00:00,14.95845338,1.160569659,,,,,,15
2003-12-01 00:00:00,12.70639559,0.971746817,,,,,,13
2004-01-01 00:00:00,11.53200962,1.003984863,,,,,,12
2004-02-01 00:00:00,11.65175094,1.040828345,,,,,,12
2004-03-01 00:00:00,16.12823391,1.257283797,,,,,,17
2004-04-01 00:00:00,40.26071411,2.215214309,,,,,,41
2004-05-01 00:00:00,46.26159612,3.034981766,14.08862247,18.78482996,,,,47
2004-06-01 00:00:00,23.90220845,0.59870657,14.08862247,18.78482996,,,,24
2004-07-01 00:00:00,9.132577909,0,14.08862247,18.78482996,,,,10
2004-08-01 00:00:00,4.379768831,0.101319573,14.08862247,18.78482996,,,,5
2004-09-01 00:00:00,3.242226348,0.276326109,14.08862247,18.78482996,,,,4
2004-10-01 00:00:00,3.46789267,0.147373925,,,,,,4
2004-11-01 00:00:00,4.794257995,0.658577227,,,,,,5
2004-12-01 00:00:00,8.142409351,0.967141382,,,,,,9
2005-01-01 00:00:00,8.142409351,0.967141382,,,,,,9
